"id","label","comment","enumerationtype","supersedes","supersededBy","isPartOf"
"http://schema.org/DrivingSchoolVehicleUsage","DrivingSchoolVehicleUsage","Indicates the usage of the vehicle for driving school.","http://schema.org/CarUsageType","","","http://auto.schema.org"
"http://schema.org/RentalVehicleUsage","RentalVehicleUsage","Indicates the usage of the vehicle as a rental car.","http://schema.org/CarUsageType","","","http://auto.schema.org"
"http://schema.org/TaxiVehicleUsage","TaxiVehicleUsage","Indicates the usage of the car as a taxi.","http://schema.org/CarUsageType","","","http://auto.schema.org"
