"id","label","comment","subPropertyOf","equivalentProperty","subproperties","domainIncludes","rangeIncludes","inversOf","supersedes","supersededBy","isPartOf"
"http://schema.org/currenciesAccepted","currenciesAccepted","The currency accepted (in <a href=""http://en.wikipedia.org/wiki/ISO_4217"">ISO 4217 currency format</a>).","","","","http://schema.org/LocalBusiness","http://schema.org/Text","","",""
"http://schema.org/currency","currency","The currency in which the monetary amount is expressed (in 3-letter <a href=""http://en.wikipedia.org/wiki/ISO_4217"">ISO 4217</a> format).","","","","http://schema.org/DatedMoneySpecification, http://schema.org/ExchangeRateSpecification, http://schema.org/LoanOrCredit, http://schema.org/MonetaryAmount","http://schema.org/Text","","",""
"http://schema.org/customer","customer","Party placing the order or paying the invoice.","","","","http://schema.org/Invoice, http://schema.org/Order","http://schema.org/Organization, http://schema.org/Person","","",""
"http://schema.org/dataFeedElement","dataFeedElement","An item within in a data feed. Data feeds may have many elements.","","","","http://schema.org/DataFeed","http://schema.org/DataFeedItem, http://schema.org/Text, http://schema.org/Thing","","",""
"http://schema.org/dataset","dataset","A dataset contained in this catalog.","","","","http://schema.org/DataCatalog","http://schema.org/Dataset","http://schema.org/includedInDataCatalog","",""
"http://schema.org/datasetTimeInterval","datasetTimeInterval","The range of temporal applicability of a dataset, e.g. for a 2011 census dataset, the year 2011 (in ISO 8601 time interval format).","","","","http://schema.org/Dataset","http://schema.org/DateTime","","","http://schema.org/temporalCoverage"
"http://schema.org/dateCreated","dateCreated","The date on which the CreativeWork was created or the item was added to a DataFeed.","","","http://schema.org/legislationDate","http://schema.org/CreativeWork, http://schema.org/DataFeedItem","http://schema.org/Date, http://schema.org/DateTime","","",""
"http://schema.org/dateDeleted","dateDeleted","The datetime the item was removed from the DataFeed.","","","","http://schema.org/DataFeedItem","http://schema.org/DateTime","","",""
"http://schema.org/dateIssued","dateIssued","The date the ticket was issued.","","","","http://schema.org/Ticket","http://schema.org/DateTime","","",""
"http://schema.org/dateModified","dateModified","The date on which the CreativeWork was most recently modified or when the item's entry was modified within a DataFeed.","","","","http://schema.org/CreativeWork, http://schema.org/DataFeedItem","http://schema.org/Date, http://schema.org/DateTime","","",""
"http://schema.org/datePosted","datePosted","Publication date for the job posting.","","","","http://schema.org/JobPosting","http://schema.org/Date","","",""
"http://schema.org/datePublished","datePublished","Date of first broadcast/publication.","","","","http://schema.org/CreativeWork","http://schema.org/Date","","",""
"http://schema.org/dateRead","dateRead","The date/time at which the message has been read by the recipient if a single recipient exists.","","","","http://schema.org/Message","http://schema.org/DateTime","","",""
"http://schema.org/dateReceived","dateReceived","The date/time the message was received if a single recipient exists.","","","","http://schema.org/Message","http://schema.org/DateTime","","",""
"http://schema.org/dateSent","dateSent","The date/time at which the message was sent.","","","","http://schema.org/Message","http://schema.org/DateTime","","",""
"http://schema.org/dateVehicleFirstRegistered","dateVehicleFirstRegistered","The date of the first registration of the vehicle with the respective public authorities.","","","","http://schema.org/Vehicle","http://schema.org/Date","","",""
"http://schema.org/dateline","dateline","A <a href=""https://en.wikipedia.org/wiki/Dateline"">dateline</a> is a brief piece of text included in news articles that describes where and when the story was written or filed though the date is often omitted. Sometimes only a placename is provided.","","","","http://schema.org/NewsArticle","http://schema.org/Text","","",""
"http://schema.org/dayOfWeek","dayOfWeek","The day of the week for which these opening hours are valid.","","","","http://schema.org/OpeningHoursSpecification","http://schema.org/DayOfWeek","","",""
"http://schema.org/deathDate","deathDate","Date of death.","","","","http://schema.org/Person","http://schema.org/Date","","",""
"http://schema.org/deathPlace","deathPlace","The place where the person died.","","","","http://schema.org/Person","http://schema.org/Place","","",""
"http://schema.org/defaultValue","defaultValue","The default value of the input.  For properties that expect a literal, the default is a literal value, for properties that expect an object, it's an ID reference to one of the current values.","","","","http://schema.org/PropertyValueSpecification","http://schema.org/Text, http://schema.org/Thing","","",""
"http://schema.org/deliveryAddress","deliveryAddress","Destination address.","","","","http://schema.org/ParcelDelivery","http://schema.org/PostalAddress","","",""
"http://schema.org/deliveryLeadTime","deliveryLeadTime","The typical delay between the receipt of the order and the goods either leaving the warehouse or being prepared for pickup, in case the delivery method is on site pickup.","","","","http://schema.org/Demand, http://schema.org/Offer","http://schema.org/QuantitativeValue","","",""
"http://schema.org/deliveryMethod","deliveryMethod","A sub property of instrument. The method of delivery.","http://schema.org/instrument","","","http://schema.org/OrderAction, http://schema.org/ReceiveAction, http://schema.org/SendAction, http://schema.org/TrackAction","http://schema.org/DeliveryMethod","","",""
"http://schema.org/deliveryStatus","deliveryStatus","New entry added as the package passes through each leg of its journey (from shipment to final delivery).","","","","http://schema.org/ParcelDelivery","http://schema.org/DeliveryEvent","","",""
"http://schema.org/department","department","A relationship between an organization and a department of that organization, also described as an organization (allowing different urls, logos, opening hours). For example: a store with a pharmacy, or a bakery with a cafe.","","","","http://schema.org/Organization","http://schema.org/Organization","","",""
"http://schema.org/departureAirport","departureAirport","The airport where the flight originates.","","","","http://schema.org/Flight","http://schema.org/Airport","","",""
"http://schema.org/departureBusStop","departureBusStop","The stop or station from which the bus departs.","","","","http://schema.org/BusTrip","http://schema.org/BusStation, http://schema.org/BusStop","","",""
"http://schema.org/departureGate","departureGate","Identifier of the flight's departure gate.","","","","http://schema.org/Flight","http://schema.org/Text","","",""
"http://schema.org/departurePlatform","departurePlatform","The platform from which the train departs.","","","","http://schema.org/TrainTrip","http://schema.org/Text","","",""
"http://schema.org/departureStation","departureStation","The station from which the train departs.","","","","http://schema.org/TrainTrip","http://schema.org/TrainStation","","",""
"http://schema.org/departureTerminal","departureTerminal","Identifier of the flight's departure terminal.","","","","http://schema.org/Flight","http://schema.org/Text","","",""
"http://schema.org/departureTime","departureTime","The expected departure time.","","","","http://schema.org/BusTrip, http://schema.org/Flight, http://schema.org/TrainTrip","http://schema.org/DateTime","","",""
"http://schema.org/dependencies","dependencies","Prerequisites needed to fulfill steps in article.","","","","http://schema.org/TechArticle","http://schema.org/Text","","",""
"http://schema.org/depth","depth","The depth of the item.","","","","http://schema.org/Product, http://schema.org/VisualArtwork","http://schema.org/Distance, http://schema.org/QuantitativeValue","","",""
"http://schema.org/description","description","A description of the item.","","http://purl.org/dc/terms/description","http://schema.org/disambiguatingDescription","http://schema.org/Thing","http://schema.org/Text","","",""
"http://schema.org/device","device","Device required to run the application. Used in cases where a specific make/model is required to run the application.","","","","http://schema.org/SoftwareApplication","http://schema.org/Text","","","http://schema.org/availableOnDevice"
"http://schema.org/director","director","A director of e.g. tv, radio, movie, video gaming etc. content, or of an event. Directors can be associated with individual items or with a series, episode, clip.","","","","http://schema.org/Clip, http://schema.org/CreativeWorkSeason, http://schema.org/Episode, http://schema.org/Event, http://schema.org/Movie, http://schema.org/MovieSeries, http://schema.org/RadioSeries, http://schema.org/TVSeries, http://schema.org/VideoGame, http://schema.org/VideoGameSeries, http://schema.org/VideoObject","http://schema.org/Person","","http://schema.org/directors",""
"http://schema.org/directors","directors","A director of e.g. tv, radio, movie, video games etc. content. Directors can be associated with individual items or with a series, episode, clip.","","","","http://schema.org/Clip, http://schema.org/Episode, http://schema.org/Movie, http://schema.org/MovieSeries, http://schema.org/RadioSeries, http://schema.org/TVSeries, http://schema.org/VideoGame, http://schema.org/VideoGameSeries, http://schema.org/VideoObject","http://schema.org/Person","","","http://schema.org/director"
"http://schema.org/disambiguatingDescription","disambiguatingDescription","A sub property of description. A short description of the item used to disambiguate from other, similar items. Information from other properties (in particular, name) may be necessary for the description to be useful for disambiguation.","http://schema.org/description","","","http://schema.org/Thing","http://schema.org/Text","","",""
"http://schema.org/discount","discount","Any discount applied (to an Order).","","","","http://schema.org/Order","http://schema.org/Number, http://schema.org/Text","","",""
"http://schema.org/discountCode","discountCode","Code used to redeem a discount.","","","","http://schema.org/Order","http://schema.org/Text","","",""
"http://schema.org/discountCurrency","discountCurrency","The currency (in 3-letter ISO 4217 format) of the discount.","","","","http://schema.org/Order","http://schema.org/Text","","",""
"http://schema.org/discusses","discusses","Specifies the CreativeWork associated with the UserComment.","","","","http://schema.org/UserComments","http://schema.org/CreativeWork","","",""
"http://schema.org/discussionUrl","discussionUrl","A link to the page containing the comments of the CreativeWork.","","","","http://schema.org/CreativeWork","http://schema.org/URL","","",""
"http://schema.org/dissolutionDate","dissolutionDate","The date that this organization was dissolved.","","","","http://schema.org/Organization","http://schema.org/Date","","",""
"http://schema.org/distance","distance","The distance travelled, e.g. exercising or travelling.","","","","http://schema.org/ExerciseAction, http://schema.org/TravelAction","http://schema.org/Distance","","",""
"http://schema.org/distribution","distribution","A downloadable form of this dataset, at a specific location, in a specific format.","","","","http://schema.org/Dataset","http://schema.org/DataDownload","","",""
"http://schema.org/doorTime","doorTime","The time admission will commence.","","","","http://schema.org/Event","http://schema.org/DateTime","","",""
"http://schema.org/downloadUrl","downloadUrl","If the file can be downloaded, URL to download the binary.","","","","http://schema.org/SoftwareApplication","http://schema.org/URL","","",""
"http://schema.org/downvoteCount","downvoteCount","The number of downvotes this question, answer or comment has received from the community.","","","","http://schema.org/Comment, http://schema.org/Question","http://schema.org/Integer","","",""
"http://schema.org/driveWheelConfiguration","driveWheelConfiguration","The drive wheel configuration, i.e. which roadwheels will receive torque from the vehicle's engine via the drivetrain.","","","","http://schema.org/Vehicle","http://schema.org/DriveWheelConfigurationValue, http://schema.org/Text","","",""
"http://schema.org/dropoffLocation","dropoffLocation","Where a rental car can be dropped off.","","","","http://schema.org/RentalCarReservation","http://schema.org/Place","","",""
"http://schema.org/dropoffTime","dropoffTime","When a rental car can be dropped off.","","","","http://schema.org/RentalCarReservation","http://schema.org/DateTime","","",""
"http://schema.org/duns","duns","The Dun &amp; Bradstreet DUNS number for identifying an organization or business person.","http://schema.org/identifier","","","http://schema.org/Organization, http://schema.org/Person","http://schema.org/Text","","",""
"http://schema.org/duration","duration","The duration of the item (movie, audio recording, event, etc.) in <a href=""http://en.wikipedia.org/wiki/ISO_8601"">ISO 8601 date format</a>.","","","http://schema.org/loanTerm","http://schema.org/Audiobook, http://schema.org/Event, http://schema.org/MediaObject, http://schema.org/Movie, http://schema.org/MusicRecording, http://schema.org/MusicRelease","http://schema.org/Duration","","",""
"http://schema.org/durationOfWarranty","durationOfWarranty","The duration of the warranty promise. Common unitCode values are ANN for year, MON for months, or DAY for days.","","","","http://schema.org/WarrantyPromise","http://schema.org/QuantitativeValue","","",""
"http://schema.org/duringMedia","duringMedia","A media object representing the circumstances while performing this direction.","","","","http://schema.org/HowToDirection","http://schema.org/MediaObject","","",""
"http://schema.org/editor","editor","Specifies the Person who edited the CreativeWork.","","","","http://schema.org/CreativeWork","http://schema.org/Person","","",""
"http://schema.org/educationRequirements","educationRequirements","Educational background needed for the position.","","","","http://schema.org/JobPosting","http://schema.org/Text","","",""
"http://schema.org/educationalAlignment","educationalAlignment","An alignment to an established educational framework.","","","","http://schema.org/CreativeWork","http://schema.org/AlignmentObject","","",""
"http://schema.org/educationalFramework","educationalFramework","The framework to which the resource being described is aligned.","","","","http://schema.org/AlignmentObject","http://schema.org/Text","","",""
"http://schema.org/educationalRole","educationalRole","An educationalRole of an EducationalAudience.","","","","http://schema.org/EducationalAudience","http://schema.org/Text","","",""
"http://schema.org/educationalUse","educationalUse","The purpose of a work in the context of education; for example, 'assignment', 'group work'.","","","","http://schema.org/CreativeWork","http://schema.org/Text","","",""
"http://schema.org/elevation","elevation","The elevation of a location (<a href=""https://en.wikipedia.org/wiki/World_Geodetic_System"">WGS 84</a>).","","","","http://schema.org/GeoCoordinates, http://schema.org/GeoShape","http://schema.org/Number, http://schema.org/Text","","",""
"http://schema.org/eligibleCustomerType","eligibleCustomerType","The type(s) of customers for which the given offer is valid.","","","","http://schema.org/Demand, http://schema.org/Offer","http://schema.org/BusinessEntityType","","",""
"http://schema.org/eligibleDuration","eligibleDuration","The duration for which the given offer is valid.","","","","http://schema.org/Demand, http://schema.org/Offer","http://schema.org/QuantitativeValue","","",""
"http://schema.org/eligibleQuantity","eligibleQuantity","The interval and unit of measurement of ordering quantities for which the offer or price specification is valid. This allows e.g. specifying that a certain freight charge is valid only for a certain quantity.","","","","http://schema.org/Demand, http://schema.org/Offer, http://schema.org/PriceSpecification","http://schema.org/QuantitativeValue","","",""
"http://schema.org/eligibleRegion","eligibleRegion","The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is valid.</p>

<p>See also <a class=""localLink"" href=""http://schema.org/ineligibleRegion"">ineligibleRegion</a>.","http://schema.org/areaServed","","","http://schema.org/DeliveryChargeSpecification, http://schema.org/Demand, http://schema.org/Offer","http://schema.org/GeoShape, http://schema.org/Place, http://schema.org/Text","","",""
"http://schema.org/eligibleTransactionVolume","eligibleTransactionVolume","The transaction volume, in a monetary unit, for which the offer or price specification is valid, e.g. for indicating a minimal purchasing volume, to express free shipping above a certain order volume, or to limit the acceptance of credit cards to purchases to a certain minimal amount.","","","","http://schema.org/Demand, http://schema.org/Offer, http://schema.org/PriceSpecification","http://schema.org/PriceSpecification","","",""
"http://schema.org/email","email","Email address.","","","","http://schema.org/ContactPoint, http://schema.org/Organization, http://schema.org/Person","http://schema.org/Text","","",""
"http://schema.org/embedUrl","embedUrl","A URL pointing to a player for a specific video. In general, this is the information in the <code>src</code> element of an <code>embed</code> tag and should not be the same as the content of the <code>loc</code> tag.","","","","http://schema.org/MediaObject","http://schema.org/URL","","",""
"http://schema.org/employee","employee","Someone working for this organization.","","","","http://schema.org/Organization","http://schema.org/Person","","http://schema.org/employees",""
"http://schema.org/employees","employees","People working for this organization.","","","","http://schema.org/Organization","http://schema.org/Person","","","http://schema.org/employee"
"http://schema.org/employmentType","employmentType","Type of employment (e.g. full-time, part-time, contract, temporary, seasonal, internship).","","","","http://schema.org/JobPosting","http://schema.org/Text","","",""
"http://schema.org/encodesCreativeWork","encodesCreativeWork","The CreativeWork encoded by this media object.","","","","http://schema.org/MediaObject","http://schema.org/CreativeWork","","",""
"http://schema.org/encoding","encoding","A media object that encodes this CreativeWork. This property is a synonym for associatedMedia.","","","","http://schema.org/CreativeWork","http://schema.org/MediaObject","","http://schema.org/encodings",""
"http://schema.org/encodingFormat","encodingFormat","mp3, mpeg4, etc.","","","","http://schema.org/MediaObject","http://schema.org/Text","","",""
"http://schema.org/encodingType","encodingType","The supported encoding type(s) for an EntryPoint request.","","","","http://schema.org/EntryPoint","http://schema.org/Text","","",""
"http://schema.org/encodings","encodings","A media object that encodes this CreativeWork.","","","","http://schema.org/CreativeWork","http://schema.org/MediaObject","","","http://schema.org/encoding"
"http://schema.org/endDate","endDate","The end date and time of the item (in <a href=""http://en.wikipedia.org/wiki/ISO_8601"">ISO 8601 date format</a>).","","","","http://schema.org/CreativeWorkSeason, http://schema.org/CreativeWorkSeries, http://schema.org/DatedMoneySpecification, http://schema.org/Event, http://schema.org/Role","http://schema.org/Date, http://schema.org/DateTime","","",""
"http://schema.org/endTime","endTime","The endTime of something. For a reserved event or service (e.g. FoodEstablishmentReservation), the time that it is expected to end. For actions that span a period of time, when the action was performed. e.g. John wrote a book from January to <em>December</em>.</p>

<p>Note that Event uses startDate/endDate instead of startTime/endTime, even when describing dates with times. This situation may be clarified in future revisions.","","","","http://schema.org/Action, http://schema.org/FoodEstablishmentReservation","http://schema.org/DateTime","","",""
"http://schema.org/endorsee","endorsee","A sub property of participant. The person/organization being supported.","http://schema.org/participant","","","http://schema.org/EndorseAction","http://schema.org/Organization, http://schema.org/Person","","",""
"http://schema.org/entertainmentBusiness","entertainmentBusiness","A sub property of location. The entertainment business where the action occurred.","http://schema.org/location","","","http://schema.org/PerformAction","http://schema.org/EntertainmentBusiness","","",""
"http://schema.org/episode","episode","An episode of a tv, radio or game media within a series or season.","http://schema.org/hasPart","","","http://schema.org/CreativeWorkSeason, http://schema.org/RadioSeries, http://schema.org/TVSeries, http://schema.org/VideoGameSeries","http://schema.org/Episode","","http://schema.org/episodes",""
"http://schema.org/episodeNumber","episodeNumber","Position of the episode within an ordered group of episodes.","http://schema.org/position","","","http://schema.org/Episode","http://schema.org/Integer, http://schema.org/Text","","",""
"http://schema.org/episodes","episodes","An episode of a TV/radio series or season.","","","","http://schema.org/CreativeWorkSeason, http://schema.org/RadioSeries, http://schema.org/TVSeries, http://schema.org/VideoGameSeries","http://schema.org/Episode","","","http://schema.org/episode"
"http://schema.org/equal","equal","This ordering relation for qualitative values indicates that the subject is equal to the object.","","","","http://schema.org/QualitativeValue","http://schema.org/QualitativeValue","","",""
"http://schema.org/error","error","For failed actions, more information on the cause of the failure.","","","","http://schema.org/Action","http://schema.org/Thing","","",""
"http://schema.org/estimatedCost","estimatedCost","The estimated cost of the supply or supplies consumed when performing instructions.","","","","http://schema.org/HowTo, http://schema.org/HowToSupply","http://schema.org/MonetaryAmount, http://schema.org/Text","","",""
"http://schema.org/estimatedFlightDuration","estimatedFlightDuration","The estimated time the flight will take.","","","","http://schema.org/Flight","http://schema.org/Duration, http://schema.org/Text","","",""
"http://schema.org/event","event","Upcoming or past event associated with this place, organization, or action.","","","","http://schema.org/InformAction, http://schema.org/InviteAction, http://schema.org/JoinAction, http://schema.org/LeaveAction, http://schema.org/Organization, http://schema.org/Place, http://schema.org/PlayAction","http://schema.org/Event","","http://schema.org/events",""
"http://schema.org/eventStatus","eventStatus","An eventStatus of an event represents its status; particularly useful when an event is cancelled or rescheduled.","","","","http://schema.org/Event","http://schema.org/EventStatusType","","",""
"http://schema.org/events","events","Upcoming or past events associated with this place or organization.","","","","http://schema.org/Organization, http://schema.org/Place","http://schema.org/Event","","","http://schema.org/event"
"http://schema.org/exampleOfWork","exampleOfWork","A creative work that this work is an example/instance/realization/derivation of.","","","","http://schema.org/CreativeWork","http://schema.org/CreativeWork","http://schema.org/workExample","",""
"http://schema.org/executableLibraryName","executableLibraryName","Library file name e.g., mscorlib.dll, system.web.dll.","","","","http://schema.org/APIReference","http://schema.org/Text","","http://schema.org/assembly",""
"http://schema.org/exerciseCourse","exerciseCourse","A sub property of location. The course where this action was taken.","http://schema.org/location","","","http://schema.org/ExerciseAction","http://schema.org/Place","","http://schema.org/course",""
"http://schema.org/exifData","exifData","exif data for this object.","","","","http://schema.org/ImageObject","http://schema.org/PropertyValue, http://schema.org/Text","","",""
"http://schema.org/expectedArrivalFrom","expectedArrivalFrom","The earliest date the package may arrive.","","","","http://schema.org/ParcelDelivery","http://schema.org/DateTime","","",""
"http://schema.org/expectedArrivalUntil","expectedArrivalUntil","The latest date the package may arrive.","","","","http://schema.org/ParcelDelivery","http://schema.org/DateTime","","",""
"http://schema.org/expectsAcceptanceOf","expectsAcceptanceOf","An Offer which must be accepted before the user can perform the Action. For example, the user may need to buy a movie before being able to watch it.","","","","http://schema.org/ConsumeAction","http://schema.org/Offer","","",""
"http://schema.org/experienceRequirements","experienceRequirements","Description of skills and experience needed for the position.","","","","http://schema.org/JobPosting","http://schema.org/Text","","",""
"http://schema.org/expires","expires","Date the content expires and is no longer useful or available. For example a <a class=""localLink"" href=""http://schema.org/VideoObject"">VideoObject</a> or <a class=""localLink"" href=""http://schema.org/NewsArticle"">NewsArticle</a> whose availability or relevance is time-limited, or a <a class=""localLink"" href=""http://schema.org/ClaimReview"">ClaimReview</a> fact check whose publisher wants to indicate that it may no longer be relevant (or helpful to highlight) after some date.","","","","http://schema.org/CreativeWork","http://schema.org/Date","","",""
"http://schema.org/familyName","familyName","Family name. In the U.S., the last name of an Person. This can be used along with givenName instead of the name property.","","","","http://schema.org/Person","http://schema.org/Text","","",""
"http://schema.org/fatContent","fatContent","The number of grams of fat.","","","","http://schema.org/NutritionInformation","http://schema.org/Mass","","",""
"http://schema.org/faxNumber","faxNumber","The fax number.","","","","http://schema.org/ContactPoint, http://schema.org/Organization, http://schema.org/Person, http://schema.org/Place","http://schema.org/Text","","",""
"http://schema.org/featureList","featureList","Features or modules provided by this application (and possibly required by other applications).","","","","http://schema.org/SoftwareApplication","http://schema.org/Text, http://schema.org/URL","","",""
"http://schema.org/feesAndCommissionsSpecification","feesAndCommissionsSpecification","Description of fees, commissions, and other terms applied either to a class of financial product, or by a financial service organization.","","","","http://schema.org/FinancialProduct, http://schema.org/FinancialService","http://schema.org/Text, http://schema.org/URL","","",""
"http://schema.org/fiberContent","fiberContent","The number of grams of fiber.","","","","http://schema.org/NutritionInformation","http://schema.org/Mass","","",""
"http://schema.org/fileFormat","fileFormat","Media type, typically MIME format (see <a href=""http://www.iana.org/assignments/media-types/media-types.xhtml"">IANA site</a>) of the content e.g. application/zip of a SoftwareApplication binary. In cases where a CreativeWork has several media type representations, 'encoding' can be used to indicate each MediaObject alongside particular fileFormat information. Unregistered or niche file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia entry.","","","","http://schema.org/CreativeWork","http://schema.org/Text, http://schema.org/URL","","",""
"http://schema.org/fileSize","fileSize","Size of the application / package (e.g. 18MB). In the absence of a unit (MB, KB etc.), KB will be assumed.","","","","http://schema.org/SoftwareApplication","http://schema.org/Text","","",""
"http://schema.org/firstPerformance","firstPerformance","The date and place the work was first performed.","","","","http://schema.org/MusicComposition","http://schema.org/Event","","",""
"http://schema.org/flightDistance","flightDistance","The distance of the flight.","","","","http://schema.org/Flight","http://schema.org/Distance, http://schema.org/Text","","",""
"http://schema.org/flightNumber","flightNumber","The unique identifier for a flight including the airline IATA code. For example, if describing United flight 110, where the IATA code for United is 'UA', the flightNumber is 'UA110'.","http://schema.org/identifier","","","http://schema.org/Flight","http://schema.org/Text","","",""
"http://schema.org/floorSize","floorSize","The size of the accommodation, e.g. in square meter or squarefoot.
Typical unit code(s): MTK for square meter, FTK for square foot, or YDK for square yard","","","","http://schema.org/Accommodation","http://schema.org/QuantitativeValue","","",""
"http://schema.org/followee","followee","A sub property of object. The person or organization being followed.","http://schema.org/object","","","http://schema.org/FollowAction","http://schema.org/Organization, http://schema.org/Person","","",""
"http://schema.org/follows","follows","The most generic uni-directional social relation.","","","","http://schema.org/Person","http://schema.org/Person","","",""
"http://schema.org/foodEstablishment","foodEstablishment","A sub property of location. The specific food establishment where the action occurred.","http://schema.org/location","","","http://schema.org/CookAction","http://schema.org/FoodEstablishment, http://schema.org/Place","","",""
"http://schema.org/foodEvent","foodEvent","A sub property of location. The specific food event where the action occurred.","http://schema.org/location","","","http://schema.org/CookAction","http://schema.org/FoodEvent","","",""
"http://schema.org/founder","founder","A person who founded this organization.","","","","http://schema.org/Organization","http://schema.org/Person","","http://schema.org/founders",""
"http://schema.org/founders","founders","A person who founded this organization.","","","","http://schema.org/Organization","http://schema.org/Person","","","http://schema.org/founder"
"http://schema.org/foundingDate","foundingDate","The date that this organization was founded.","","","","http://schema.org/Organization","http://schema.org/Date","","",""
"http://schema.org/foundingLocation","foundingLocation","The place where the Organization was founded.","","","","http://schema.org/Organization","http://schema.org/Place","","",""
"http://schema.org/free","free","A flag to signal that the item, event, or place is accessible for free.","","","","http://schema.org/PublicationEvent","http://schema.org/Boolean","","","http://schema.org/isAccessibleForFree"
"http://schema.org/fromLocation","fromLocation","A sub property of location. The original location of the object or the agent before the action.","http://schema.org/location","","","http://schema.org/ExerciseAction, http://schema.org/MoveAction, http://schema.org/TransferAction","http://schema.org/Place","","",""
"http://schema.org/fuelConsumption","fuelConsumption","<p>The amount of fuel consumed for traveling a particular distance or temporal duration with the given vehicle (e.g. liters per 100 km).</p>

<ul>
<li>Note 1: There are unfortunately no standard unit codes for liters per 100 km.  Use <a class=""localLink"" href=""http://schema.org/unitText"">unitText</a> to indicate the unit of measurement, e.g. L/100 km.</li>
<li>Note 2: There are two ways of indicating the fuel consumption, <a class=""localLink"" href=""http://schema.org/fuelConsumption"">fuelConsumption</a> (e.g. 8 liters per 100 km) and <a class=""localLink"" href=""http://schema.org/fuelEfficiency"">fuelEfficiency</a> (e.g. 30 miles per gallon). They are reciprocal.</li>
<li>Note 3: Often, the absolute value is useful only when related to driving speed (""at 80 km/h"") or usage pattern (""city traffic""). You can use <a class=""localLink"" href=""http://schema.org/valueReference"">valueReference</a> to link the value for the fuel consumption to another value.</li>
</ul>
","","","","http://schema.org/Vehicle","http://schema.org/QuantitativeValue","","",""
"http://schema.org/fuelEfficiency","fuelEfficiency","<p>The distance traveled per unit of fuel used; most commonly miles per gallon (mpg) or kilometers per liter (km/L).</p>

<ul>
<li>Note 1: There are unfortunately no standard unit codes for miles per gallon or kilometers per liter. Use <a class=""localLink"" href=""http://schema.org/unitText"">unitText</a> to indicate the unit of measurement, e.g. mpg or km/L.</li>
<li>Note 2: There are two ways of indicating the fuel consumption, <a class=""localLink"" href=""http://schema.org/fuelConsumption"">fuelConsumption</a> (e.g. 8 liters per 100 km) and <a class=""localLink"" href=""http://schema.org/fuelEfficiency"">fuelEfficiency</a> (e.g. 30 miles per gallon). They are reciprocal.</li>
<li>Note 3: Often, the absolute value is useful only when related to driving speed (""at 80 km/h"") or usage pattern (""city traffic""). You can use <a class=""localLink"" href=""http://schema.org/valueReference"">valueReference</a> to link the value for the fuel economy to another value.</li>
</ul>
","","","","http://schema.org/Vehicle","http://schema.org/QuantitativeValue","","",""
"http://schema.org/fuelType","fuelType","The type of fuel suitable for the engine or engines of the vehicle. If the vehicle has only one engine, this property can be attached directly to the vehicle.","","","","http://schema.org/EngineSpecification, http://schema.org/Vehicle","http://schema.org/QualitativeValue, http://schema.org/Text, http://schema.org/URL","","",""
"http://schema.org/funder","funder","A person or organization that supports (sponsors) something through some kind of financial contribution.","http://schema.org/sponsor","","","http://schema.org/CreativeWork, http://schema.org/Event, http://schema.org/Organization, http://schema.org/Person","http://schema.org/Organization, http://schema.org/Person","","",""
"http://schema.org/game","game","Video game which is played on this server.","","","","http://schema.org/GameServer","http://schema.org/VideoGame","http://schema.org/gameServer","",""
"http://schema.org/gameItem","gameItem","An item is an object within the game world that can be collected by a player or, occasionally, a non-player character.","","","","http://schema.org/Game, http://schema.org/VideoGameSeries","http://schema.org/Thing","","",""
"http://schema.org/gameLocation","gameLocation","Real or fictional location of the game (or part of game).","","","","http://schema.org/Game, http://schema.org/VideoGameSeries","http://schema.org/Place, http://schema.org/PostalAddress, http://schema.org/URL","","",""
"http://schema.org/gamePlatform","gamePlatform","The electronic systems used to play <a href=""http://en.wikipedia.org/wiki/Category:Video_game_platforms"">video games</a>.","","","","http://schema.org/VideoGame, http://schema.org/VideoGameSeries","http://schema.org/Text, http://schema.org/Thing, http://schema.org/URL","","",""
"http://schema.org/gameServer","gameServer","The server on which  it is possible to play the game.","","","","http://schema.org/VideoGame","http://schema.org/GameServer","http://schema.org/game","",""
"http://schema.org/gameTip","gameTip","Links to tips, tactics, etc.","","","","http://schema.org/VideoGame","http://schema.org/CreativeWork","","",""
"http://schema.org/gender","gender","Gender of the person. While http://schema.org/Male and http://schema.org/Female may be used, text strings are also acceptable for people who do not identify as a binary gender.","","","","http://schema.org/Person","http://schema.org/GenderType, http://schema.org/Text","","",""
"http://schema.org/genre","genre","Genre of the creative work, broadcast channel or group.","","","http://schema.org/legislationType","http://schema.org/BroadcastChannel, http://schema.org/CreativeWork, http://schema.org/MusicGroup","http://schema.org/Text, http://schema.org/URL","","",""
"http://schema.org/geo","geo","The geo coordinates of the place.","","","","http://schema.org/Place","http://schema.org/GeoCoordinates, http://schema.org/GeoShape","","",""
"http://schema.org/geoMidpoint","geoMidpoint","Indicates the GeoCoordinates at the centre of a GeoShape e.g. GeoCircle.","","","","http://schema.org/GeoCircle","http://schema.org/GeoCoordinates","","",""
"http://schema.org/geoRadius","geoRadius","Indicates the approximate radius of a GeoCircle (metres unless indicated otherwise via Distance notation).","","","","http://schema.org/GeoCircle","http://schema.org/Distance, http://schema.org/Number, http://schema.org/Text","","",""
