"id","label","comment","subTypeOf","equivalentClass","properties","subTypes","supersedes","supersededBy","isPartOf"
"http://schema.org/Class","Class","A class, also often called a 'Type'; equivalent to rdfs:Class.","http://schema.org/Intangible","","http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/category, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/identifier, http://schema.org/image, http://schema.org/mainEntityOfPage, http://schema.org/name, http://schema.org/potentialAction, http://schema.org/sameAs, http://schema.org/supersededBy, http://schema.org/url","","","","http://meta.schema.org/"
"http://schema.org/Property","Property","A property, used to indicate attributes and relationships of some Thing; equivalent to rdf:Property.","http://schema.org/Intangible","","http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/category, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/domainIncludes, http://schema.org/identifier, http://schema.org/image, http://schema.org/inverseOf, http://schema.org/mainEntityOfPage, http://schema.org/name, http://schema.org/potentialAction, http://schema.org/rangeIncludes, http://schema.org/sameAs, http://schema.org/supersededBy, http://schema.org/url","","","","http://meta.schema.org/"
