"id","label","comment","subTypeOf","enumerationtype","equivalentClass","properties","subTypes","supersedes","supersededBy","isPartOf"
"http://schema.org/BusOrCoach","BusOrCoach","A bus (also omnibus or autobus) is a road vehicle designed to carry passengers. Coaches are luxury busses, usually in service for long distance travel.","http://schema.org/Vehicle","","","http://schema.org/accelerationTime, http://schema.org/acrissCode, http://schema.org/bodyType, http://schema.org/emissionsCO2, http://schema.org/fuelCapacity, http://schema.org/meetsEmissionStandard, http://schema.org/modelDate, http://schema.org/payload, http://schema.org/roofLoad, http://schema.org/seatingCapacity, http://schema.org/speed, http://schema.org/tongueWeight, http://schema.org/trailerWeight, http://schema.org/vehicleSpecialUsage, http://schema.org/weightTotal, http://schema.org/wheelbase","","","","http://auto.schema.org"
"http://schema.org/CarUsageType","CarUsageType","A value indicating a special usage of a car, e.g. commercial rental, driving school, or as a taxi.","http://schema.org/Enumeration","","","","","","","http://auto.schema.org"
"http://schema.org/DrivingSchoolVehicleUsage","DrivingSchoolVehicleUsage","Indicates the usage of the vehicle for driving school.","","http://schema.org/CarUsageType","","","","","","http://auto.schema.org"
"http://schema.org/Motorcycle","Motorcycle","A motorcycle or motorbike is a single-track, two-wheeled motor vehicle.","http://schema.org/Vehicle","","","http://schema.org/accelerationTime, http://schema.org/bodyType, http://schema.org/emissionsCO2, http://schema.org/fuelCapacity, http://schema.org/meetsEmissionStandard, http://schema.org/modelDate, http://schema.org/payload, http://schema.org/seatingCapacity, http://schema.org/speed, http://schema.org/tongueWeight, http://schema.org/trailerWeight, http://schema.org/vehicleSpecialUsage, http://schema.org/weightTotal, http://schema.org/wheelbase","","","","http://auto.schema.org"
"http://schema.org/MotorizedBicycle","MotorizedBicycle","A motorized bicycle is a bicycle with an attached motor used to power the vehicle, or to assist with pedaling.","http://schema.org/Vehicle","","","http://schema.org/accelerationTime, http://schema.org/bodyType, http://schema.org/emissionsCO2, http://schema.org/fuelCapacity, http://schema.org/meetsEmissionStandard, http://schema.org/modelDate, http://schema.org/payload, http://schema.org/seatingCapacity, http://schema.org/speed, http://schema.org/tongueWeight, http://schema.org/trailerWeight, http://schema.org/vehicleSpecialUsage, http://schema.org/weightTotal, http://schema.org/wheelbase","","","","http://auto.schema.org"
"http://schema.org/RentalVehicleUsage","RentalVehicleUsage","Indicates the usage of the vehicle as a rental car.","","http://schema.org/CarUsageType","","","","","","http://auto.schema.org"
"http://schema.org/TaxiVehicleUsage","TaxiVehicleUsage","Indicates the usage of the car as a taxi.","","http://schema.org/CarUsageType","","","","","","http://auto.schema.org"
