"id","label","comment","subTypeOf","enumerationtype","equivalentClass","properties","subTypes","supersedes","supersededBy","isPartOf"
"http://schema.org/Class","Class","A class, also often called a 'Type'; equivalent to rdfs:Class.","http://schema.org/Intangible","","http://www.w3.org/2000/01/rdf-schema#Class","http://schema.org/supersededBy","","","","http://meta.schema.org"
"http://schema.org/Property","Property","A property, used to indicate attributes and relationships of some Thing; equivalent to rdf:Property.","http://schema.org/Intangible","","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","http://schema.org/domainIncludes, http://schema.org/inverseOf, http://schema.org/rangeIncludes, http://schema.org/supersededBy","","","","http://meta.schema.org"
