"id","label","comment","subTypeOf","enumerationtype","equivalentClass","properties","subTypes","supersedes","supersededBy","isPartOf"
"http://schema.org/ProductReturnEnumeration","ProductReturnEnumeration","ProductReturnEnumeration enumerates several kinds of product return policy. Note that this structure may not capture all aspects of the policy.","http://schema.org/Enumeration","","","","","","http://schema.org/MerchantReturnEnumeration","http://attic.schema.org"
"http://schema.org/ProductReturnFiniteReturnWindow","ProductReturnFiniteReturnWindow","ProductReturnFiniteReturnWindow: there is a finite window for product returns.","","http://schema.org/ProductReturnEnumeration","","","","","http://schema.org/MerchantReturnFiniteReturnWindow","http://attic.schema.org"
"http://schema.org/ProductReturnNotPermitted","ProductReturnNotPermitted","ProductReturnNotPermitted: product returns are not permitted.","","http://schema.org/ProductReturnEnumeration","","","","","http://schema.org/MerchantReturnNotPermitted","http://attic.schema.org"
"http://schema.org/ProductReturnPolicy","ProductReturnPolicy","A ProductReturnPolicy provides information about product return policies associated with an <a class=""localLink"" href=""http://schema.org/Organization"">Organization</a> or <a class=""localLink"" href=""http://schema.org/Product"">Product</a>.","http://schema.org/Intangible","","","http://schema.org/productReturnDays, http://schema.org/productReturnLink","","","http://schema.org/MerchantReturnPolicy","http://attic.schema.org"
"http://schema.org/ProductReturnUnlimitedWindow","ProductReturnUnlimitedWindow","ProductReturnUnlimitedWindow: there is an unlimited window for product returns.","","http://schema.org/ProductReturnEnumeration","","","","","http://schema.org/MerchantReturnUnlimitedWindow","http://attic.schema.org"
"http://schema.org/ProductReturnUnspecified","ProductReturnUnspecified","ProductReturnUnspecified: a product return policy is not specified here.","","http://schema.org/ProductReturnEnumeration","","","","","http://schema.org/MerchantReturnUnspecified","http://attic.schema.org"
"http://schema.org/StupidType","StupidType","A StupidType for testing.","http://schema.org/Thing","","","http://schema.org/stupidProperty","","","","http://attic.schema.org"
