"id","label","comment","subTypeOf","enumerationtype","equivalentClass","properties","subTypes","supersedes","supersededBy","isPartOf"
"http://schema.org/BusOrCoach","BusOrCoach","A bus (also omnibus or autobus) is a road vehicle designed to carry passengers. Coaches are luxury busses, usually in service for long distance travel.","http://schema.org/Vehicle","","","http://schema.org/accelerationTime, http://schema.org/acrissCode, http://schema.org/additionalProperty, http://schema.org/additionalType, http://schema.org/aggregateRating, http://schema.org/alternateName, http://schema.org/audience, http://schema.org/award, http://schema.org/awards, http://schema.org/bodyType, http://schema.org/brand, http://schema.org/cargoVolume, http://schema.org/category, http://schema.org/color, http://schema.org/dateVehicleFirstRegistered, http://schema.org/depth, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/driveWheelConfiguration, http://schema.org/emissionsCO2, http://schema.org/fuelCapacity, http://schema.org/fuelConsumption, http://schema.org/fuelEfficiency, http://schema.org/fuelType, http://schema.org/gtin12, http://schema.org/gtin13, http://schema.org/gtin14, http://schema.org/gtin8, http://schema.org/height, http://schema.org/identifier, http://schema.org/image, http://schema.org/isAccessoryOrSparePartFor, http://schema.org/isConsumableFor, http://schema.org/isRelatedTo, http://schema.org/isSimilarTo, http://schema.org/itemCondition, http://schema.org/knownVehicleDamages, http://schema.org/logo, http://schema.org/mainEntityOfPage, http://schema.org/manufacturer, http://schema.org/material, http://schema.org/meetsEmissionStandard, http://schema.org/mileageFromOdometer, http://schema.org/model, http://schema.org/modelDate, http://schema.org/mpn, http://schema.org/name, http://schema.org/numberOfAirbags, http://schema.org/numberOfAxles, http://schema.org/numberOfDoors, http://schema.org/numberOfForwardGears, http://schema.org/numberOfPreviousOwners, http://schema.org/offers, http://schema.org/payload, http://schema.org/potentialAction, http://schema.org/productID, http://schema.org/productionDate, http://schema.org/purchaseDate, http://schema.org/releaseDate, http://schema.org/review, http://schema.org/reviews, http://schema.org/roofLoad, http://schema.org/sameAs, http://schema.org/seatingCapacity, http://schema.org/sku, http://schema.org/speed, http://schema.org/steeringPosition, http://schema.org/stupidProperty, http://schema.org/subjectOf, http://schema.org/tongueWeight, http://schema.org/trailerWeight, http://schema.org/url, http://schema.org/vehicleConfiguration, http://schema.org/vehicleEngine, http://schema.org/vehicleIdentificationNumber, http://schema.org/vehicleInteriorColor, http://schema.org/vehicleInteriorType, http://schema.org/vehicleModelDate, http://schema.org/vehicleSeatingCapacity, http://schema.org/vehicleSpecialUsage, http://schema.org/vehicleTransmission, http://schema.org/weight, http://schema.org/weightTotal, http://schema.org/wheelbase, http://schema.org/width","","","","http://auto.schema.org"
"http://schema.org/CarUsageType","CarUsageType","A value indicating a special usage of a car, e.g. commercial rental, driving school, or as a taxi.","http://schema.org/QualitativeValue","","","http://schema.org/additionalProperty, http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/equal, http://schema.org/greater, http://schema.org/greaterOrEqual, http://schema.org/identifier, http://schema.org/image, http://schema.org/lesser, http://schema.org/lesserOrEqual, http://schema.org/mainEntityOfPage, http://schema.org/name, http://schema.org/nonEqual, http://schema.org/potentialAction, http://schema.org/sameAs, http://schema.org/subjectOf, http://schema.org/supersededBy, http://schema.org/url, http://schema.org/valueReference","","","","http://auto.schema.org"
"http://schema.org/DrivingSchoolVehicleUsage","DrivingSchoolVehicleUsage","Indicates the usage of the vehicle for driving school.","","http://schema.org/CarUsageType","","","","","","http://auto.schema.org"
"http://schema.org/Motorcycle","Motorcycle","A motorcycle or motorbike is a single-track, two-wheeled motor vehicle.","http://schema.org/Vehicle","","","http://schema.org/accelerationTime, http://schema.org/additionalProperty, http://schema.org/additionalType, http://schema.org/aggregateRating, http://schema.org/alternateName, http://schema.org/audience, http://schema.org/award, http://schema.org/awards, http://schema.org/bodyType, http://schema.org/brand, http://schema.org/cargoVolume, http://schema.org/category, http://schema.org/color, http://schema.org/dateVehicleFirstRegistered, http://schema.org/depth, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/driveWheelConfiguration, http://schema.org/emissionsCO2, http://schema.org/fuelCapacity, http://schema.org/fuelConsumption, http://schema.org/fuelEfficiency, http://schema.org/fuelType, http://schema.org/gtin12, http://schema.org/gtin13, http://schema.org/gtin14, http://schema.org/gtin8, http://schema.org/height, http://schema.org/identifier, http://schema.org/image, http://schema.org/isAccessoryOrSparePartFor, http://schema.org/isConsumableFor, http://schema.org/isRelatedTo, http://schema.org/isSimilarTo, http://schema.org/itemCondition, http://schema.org/knownVehicleDamages, http://schema.org/logo, http://schema.org/mainEntityOfPage, http://schema.org/manufacturer, http://schema.org/material, http://schema.org/meetsEmissionStandard, http://schema.org/mileageFromOdometer, http://schema.org/model, http://schema.org/modelDate, http://schema.org/mpn, http://schema.org/name, http://schema.org/numberOfAirbags, http://schema.org/numberOfAxles, http://schema.org/numberOfDoors, http://schema.org/numberOfForwardGears, http://schema.org/numberOfPreviousOwners, http://schema.org/offers, http://schema.org/payload, http://schema.org/potentialAction, http://schema.org/productID, http://schema.org/productionDate, http://schema.org/purchaseDate, http://schema.org/releaseDate, http://schema.org/review, http://schema.org/reviews, http://schema.org/sameAs, http://schema.org/seatingCapacity, http://schema.org/sku, http://schema.org/speed, http://schema.org/steeringPosition, http://schema.org/stupidProperty, http://schema.org/subjectOf, http://schema.org/tongueWeight, http://schema.org/trailerWeight, http://schema.org/url, http://schema.org/vehicleConfiguration, http://schema.org/vehicleEngine, http://schema.org/vehicleIdentificationNumber, http://schema.org/vehicleInteriorColor, http://schema.org/vehicleInteriorType, http://schema.org/vehicleModelDate, http://schema.org/vehicleSeatingCapacity, http://schema.org/vehicleSpecialUsage, http://schema.org/vehicleTransmission, http://schema.org/weight, http://schema.org/weightTotal, http://schema.org/wheelbase, http://schema.org/width","","","","http://auto.schema.org"
"http://schema.org/MotorizedBicycle","MotorizedBicycle","A motorized bicycle is a bicycle with an attached motor used to power the vehicle, or to assist with pedaling.","http://schema.org/Vehicle","","","http://schema.org/accelerationTime, http://schema.org/additionalProperty, http://schema.org/additionalType, http://schema.org/aggregateRating, http://schema.org/alternateName, http://schema.org/audience, http://schema.org/award, http://schema.org/awards, http://schema.org/bodyType, http://schema.org/brand, http://schema.org/cargoVolume, http://schema.org/category, http://schema.org/color, http://schema.org/dateVehicleFirstRegistered, http://schema.org/depth, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/driveWheelConfiguration, http://schema.org/emissionsCO2, http://schema.org/fuelCapacity, http://schema.org/fuelConsumption, http://schema.org/fuelEfficiency, http://schema.org/fuelType, http://schema.org/gtin12, http://schema.org/gtin13, http://schema.org/gtin14, http://schema.org/gtin8, http://schema.org/height, http://schema.org/identifier, http://schema.org/image, http://schema.org/isAccessoryOrSparePartFor, http://schema.org/isConsumableFor, http://schema.org/isRelatedTo, http://schema.org/isSimilarTo, http://schema.org/itemCondition, http://schema.org/knownVehicleDamages, http://schema.org/logo, http://schema.org/mainEntityOfPage, http://schema.org/manufacturer, http://schema.org/material, http://schema.org/meetsEmissionStandard, http://schema.org/mileageFromOdometer, http://schema.org/model, http://schema.org/modelDate, http://schema.org/mpn, http://schema.org/name, http://schema.org/numberOfAirbags, http://schema.org/numberOfAxles, http://schema.org/numberOfDoors, http://schema.org/numberOfForwardGears, http://schema.org/numberOfPreviousOwners, http://schema.org/offers, http://schema.org/payload, http://schema.org/potentialAction, http://schema.org/productID, http://schema.org/productionDate, http://schema.org/purchaseDate, http://schema.org/releaseDate, http://schema.org/review, http://schema.org/reviews, http://schema.org/sameAs, http://schema.org/seatingCapacity, http://schema.org/sku, http://schema.org/speed, http://schema.org/steeringPosition, http://schema.org/stupidProperty, http://schema.org/subjectOf, http://schema.org/tongueWeight, http://schema.org/trailerWeight, http://schema.org/url, http://schema.org/vehicleConfiguration, http://schema.org/vehicleEngine, http://schema.org/vehicleIdentificationNumber, http://schema.org/vehicleInteriorColor, http://schema.org/vehicleInteriorType, http://schema.org/vehicleModelDate, http://schema.org/vehicleSeatingCapacity, http://schema.org/vehicleSpecialUsage, http://schema.org/vehicleTransmission, http://schema.org/weight, http://schema.org/weightTotal, http://schema.org/wheelbase, http://schema.org/width","","","","http://auto.schema.org"
"http://schema.org/RentalVehicleUsage","RentalVehicleUsage","Indicates the usage of the vehicle as a rental car.","","http://schema.org/CarUsageType","","","","","","http://auto.schema.org"
"http://schema.org/TaxiVehicleUsage","TaxiVehicleUsage","Indicates the usage of the car as a taxi.","","http://schema.org/CarUsageType","","","","","","http://auto.schema.org"
